SimStadt PV potential analysis

Data source;meteonorm tmy3 file 2000-2009
Location;Berlin
Latitude;52,51;°
Longitude;13,38;°
Radiation model;meteonorm_Hay
Irradiance azimuth resolution;5;°
Irradiance tilt resolution;5;°
Max tilt;100;°
Include Tilted Roofs?;true
Include Flat Roofs?;true
Include Facades?;false
Include LOD1?;false
Max flat roof elevation;10;°
Min surface area;40;m²
Min roof insolation;1100;kWh/(m²·a)
Min facade insolation;800;kWh/(m²·a)
Module area to flat roof area;30;%
Module area to tilted roof area;40;%
Module area to LOD1 roof area;15;%
Module area to facade area;5;%
Module efficiency;15;%
Performance Ratio;85;%
Module azimuth on flat roof;180;°
Module tilt on flat roof;25;°


SimStadt version;0.10.0-SNAPSHOT (master, rev. 6d7c707, 20230828)
Created at;2024/11/06 16:02:03
Cache version;7

Irradiance on unshadowed tilted modules on flat roof;138,7;W/m²
Calculation time ;0,22;s

Building ID;Year;Surface area to volume ratio;MeanHeight;BuildingSurface ID;BuildingSurface Hash;LOD;Usage Code;X-Coordinate;Y-Coordinate;Azimuth;Tilt;Area;Module area/Surface area;Irradiance in module plane;PV potential nominal power;PV potential yield;PV specific yield;January irradiance on roof plane;February irradiance on roof plane;March irradiance on roof plane;April irradiance on roof plane;May irradiance on roof plane;June irradiance on roof plane;July irradiance on roof plane;August irradiance on roof plane;September irradiance on roof plane;October irradiance on roof plane;November irradiance on roof plane;December irradiance on roof plane;Total investment;Maintenance costs;LCOE;Net present value;Internal rate of return;Payback period;Discounted payback period;Financial feasibility
[-];[-];[1/m];[m];[-];[-];[-];[-];[m];[m];[°];[°];[m²];[%];[W/m²];[kWp];[MWh/a];[kWh/(kWp.a)];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[€];[€/a];[c€/kWh];[€];[%];[a];[a];[0/1]
DEBE3Drz5lbiTAmr;;0,222;12,227;ID_e3ade504-b1ea-4cb7-a03b-f1acfccbd86d;2075981442;LOD2;2143;385027,3;5821742,5;180;0;3820,3;30,00;138,7;171;176,64;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DTyg4kG1SAV;;0,287;20,764;ID_a7a8a8cd-7337-4191-aac0-36f220330dfb;326535273;LOD2;1010;385872,0;5820048,2;296;10;227,2;30,00;138,7;10;10,33;1033;29;53;124;216;218;233;203;200;139;68;36;23;
DEBE3DRK7ZtL1dUM;;0,215;30,688;ID_f6283e34-8059-4c8c-9d9a-f72428c4ec8d;1603952338;LOD2;1010;385941,1;5820296,1;180;0;509,1;30,00;138,7;22;22,73;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DH4KoiV2J9S;1900;0,544;9,362;ID_cb1d27b2-cac2-40d9-97e2-0b842b737218;161440174;LOD2;2143;385578,8;5821044,6;180;0;77,0;30,00;138,7;3;3,10;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000Pzz;1900;0,460;7,242;ID_2c9c55e5-37c8-4822-8a87-0467305859f0;831542510;LOD2;2120;385223,1;5820924,8;90;7;364,4;30,00;138,7;16;16,53;1033;25;46;113;206;210;220;197;188;129;61;31;19;
DEBE04YY50000PV4_02;;0,323;17,103;ID_35a6eca1-ec83-44dc-8cc0-b2c30347e8d7;1868292340;LOD2;1010;384826,2;5820907,3;180;0;131,0;30,00;138,7;5;5,16;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DNOydjjQHnm;1900;0,246;21,926;ID_75b22c79-5236-4581-9a54-ab2be2ac4440;296651438;LOD2;1010;385397,7;5820880,1;179;13;193,5;40,00;135,7;11;11,12;1011;30;55;141;238;225;230;205;208;155;73;42;23;
DEBE3DNOydjjQHnm;1900;0,246;21,926;ID_9d74a81f-8e89-40fd-8544-5bcef69bba61;893100426;LOD2;1010;385397,7;5820880,1;359;10;222,5;30,00;138,7;10;10,33;1033;25;46;103;192;204;220;193;182;120;58;28;19;
DEBE3Dzyjj4X2Hpv;;0,270;22,278;ID_090510b7-d6e2-4fa9-be5c-705737b97f5d;641461300;LOD2;1010;384920,8;5820965,1;193;12;159,6;40,00;135,3;9;9,07;1008;31;56;138;235;225;231;206;208;152;73;41;24;
DEBE3DsJCd3DmG6l;;0,420;20,162;ID_e3d6d4e5-9214-4981-ac6d-1af360a0a675;1078350520;LOD2;2111;385909,6;5821241,1;287;5;113,4;30,00;138,7;5;5,16;1033;30;53;125;218;219;231;203;200;140;68;36;24;
DEBE04YY5000024G_001;1905;0,418;22,311;ID_ee920204-123c-4242-91b7-596cc66dd81c;431666154;LOD2;1010;385450,2;5820777,9;180;0;77,2;30,00;138,7;3;3,10;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DKOL7hV6sKs;;0,168;14,889;ID_97e76fe4-5e60-4619-a6b8-f841ada65e66;517975554;LOD2;2142;385712,0;5821494,6;180;0;4850,4;30,00;138,7;218;225,19;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE04YY5000096c_01;1955;0,486;12,707;ID_63c1d4ac-0b2e-4bb1-95e5-b4aecd1c9e52;346525011;LOD2;1010;385292,8;5820702,6;92;7;98,4;30,00;138,7;4;4,13;1033;25;46;113;206;210;220;197;188;129;61;31;19;
DEBE3D01YYK0003VA8;;0,900;16,032;ID_5c8d81d0-4a04-45df-92f5-a1efae483956;1888142720;LOD2;1610;385798,4;5821132,6;195;66;51,6;40,00;132,0;3;2,95;983;36;66;171;239;187;182;162;192;173;86;61;27;
