SimStadt PV potential analysis

Data source;meteonorm tmy3 file 2000-2009
Location;Berlin
Latitude;52,51;°
Longitude;13,38;°
Radiation model;meteonorm_Hay
Irradiance azimuth resolution;5;°
Irradiance tilt resolution;5;°
Max tilt;100;°
Include Tilted Roofs?;true
Include Flat Roofs?;true
Include Facades?;false
Include LOD1?;false
Max flat roof elevation;10;°
Min surface area;40;m²
Min roof insolation;1100;kWh/(m²·a)
Min facade insolation;800;kWh/(m²·a)
Module area to flat roof area;30;%
Module area to tilted roof area;40;%
Module area to LOD1 roof area;15;%
Module area to facade area;5;%
Module efficiency;15;%
Performance Ratio;85;%
Module azimuth on flat roof;180;°
Module tilt on flat roof;25;°


SimStadt version;0.10.0-SNAPSHOT (master, rev. 6d7c707, 20230828)
Created at;2024/11/06 16:02:03
Cache version;7

Irradiance on unshadowed tilted modules on flat roof;138,7;W/m²
Calculation time ;0,22;s

Building ID;Year;Surface area to volume ratio;MeanHeight;BuildingSurface ID;BuildingSurface Hash;LOD;Usage Code;X-Coordinate;Y-Coordinate;Azimuth;Tilt;Area;Module area/Surface area;Irradiance in module plane;PV potential nominal power;PV potential yield;PV specific yield;January irradiance on roof plane;February irradiance on roof plane;March irradiance on roof plane;April irradiance on roof plane;May irradiance on roof plane;June irradiance on roof plane;July irradiance on roof plane;August irradiance on roof plane;September irradiance on roof plane;October irradiance on roof plane;November irradiance on roof plane;December irradiance on roof plane;Total investment;Maintenance costs;LCOE;Net present value;Internal rate of return;Payback period;Discounted payback period;Financial feasibility
[-];[-];[1/m];[m];[-];[-];[-];[-];[m];[m];[°];[°];[m²];[%];[W/m²];[kWp];[MWh/a];[kWh/(kWp.a)];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[W/m²];[€];[€/a];[c€/kWh];[€];[%];[a];[a];[0/1]
DEBE3DYGOPwg50dx;;0,566;5,409;ID_30feae66-6788-42cc-a5b8-d550a3bcb686;1869895105;LOD2;2411;384411,9;5821814,3;180;0;260,2;30,00;138,7;11;11,36;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DgvmPhfdqvD;;0,429;20,380;ID_326e419d-1edb-4b6a-a47c-eadc7479275d;385371621;LOD2;1010;385631,6;5820066,7;192;11;79,7;40,00;134,6;4;4,01;1002;30;55;137;234;224;231;206;207;151;72;41;23;
DEBE3D04YY50000BJ8;1925;0,724;3,847;ID_a143e76f-a2ff-4277-bf2d-f91dd847dc85;1856002100;LOD2;2142;385494,3;5820628,3;180;0;666,3;30,00;138,7;29;29,96;1033;28;50;120;214;216;226;201;195;136;65;34;22;
UUID_66514cca-01c1-43f7-a631-2265fc226763;;0,369;20,120;ID_15878c2a-31a3-4871-93c7-9fa9064104fe;1618897329;LOD2;1010;385108,0;5820133,5;87;1;96,6;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
UUID_66514cca-01c1-43f7-a631-2265fc226763;;0,369;20,120;ID_0824ee6e-0fd1-406f-b84f-58bce2139e1f;1292290170;LOD2;1010;385108,0;5820133,5;267;21;67,5;40,00;138,6;4;4,13;1032;34;60;143;235;227;240;206;214;154;76;44;27;
DEBE3DuxBRYYKmpF;;0,422;23,053;ID_d339134e-f527-47e0-9fe3-2ad03f10b504;1804114462;LOD2;1010;385178,5;5820087,8;189;10;92,0;30,00;138,7;4;4,13;1033;30;55;137;234;224;231;206;207;151;72;41;23;
DEBE3D04YY50000K83;;0,568;19,995;ID_4787361d-bef2-4891-b075-00a107cc650a;682214155;LOD2;1010;384588,1;5820099,3;85;9;86,2;30,00;138,7;3;3,10;1033;22;42;105;197;203;214;192;181;122;57;28;17;
DEBE3DwvIRsFOzhM;1925;0,433;18,847;ID_a1995a9f-eb90-4c74-a47c-e15319a7a7d1;1320515650;LOD2;1010;384642,8;5821244,0;180;0;100,8;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000AeE;;0,638;7,587;ID_6b83a220-f87a-4c35-aba6-a98525aab4dc;1787950358;LOD2;1010;385156,5;5820121,1;266;6;115,0;30,00;138,7;5;5,16;1033;30;54;128;222;221;232;204;202;143;69;38;24;
DEBE3DBpY0xgLB3u;1905;0,300;24,227;ID_5227cdc1-86b3-4775-a6f2-ceaf66c39fd2;740901622;LOD2;1022;385092,1;5821225,2;176;12;44,5;40,00;132,2;2;1,97;985;29;53;133;230;222;229;204;204;148;70;39;22;
DEBE3D04YY50000Rfo;1905;0,310;21,315;ID_163526b4-7ed4-4ed7-8e38-924fdd828c13;1351721154;LOD2;1010;384557,3;5820538,4;180;0;196,4;30,00;138,7;8;8,26;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000Itw;1905;0,786;4,109;ID_6c44a55c-4ea1-43a0-9f11-091de72afd91;391242009;LOD2;2054;384900,5;5820833,7;180;0;118,2;30,00;138,7;5;5,16;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000BEo;2013;0,249;23,411;ID_2058d288-c724-482c-a12c-ada97dc5b2ae;1949429782;LOD2;1010;385097,8;5820520,2;180;0;237,1;30,00;138,7;10;10,33;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DYGB8SR0Px3;1985;0,307;20,536;ID_88fb9f2b-7462-4510-a28d-d40bdbdbcd36;40705779;LOD2;1010;385101,0;5820681,1;272;39;502,9;40,00;137,6;30;30,74;1025;34;61;148;234;221;236;197;213;156;76;45;27;
DEBE00YYNv0000Bv_01;;0,273;12,790;ID_b690ae5e-2b59-4449-bc65-72dc2a37ac22;2113194454;LOD2;1130;385089,3;5821149,6;180;0;766,4;30,00;138,7;34;35,12;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DbVwWvtueP9;1905;0,328;23,134;ID_22f8f67b-2f38-4294-8487-d1252d5b3376;1462384425;LOD2;1010;384530,8;5820639,2;180;0;97,8;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE04YY50002Xum_02;2013;0,308;19,482;ID_46ab7b50-09fd-43e2-bd63-4a4d106234db;669068857;LOD2;2520;385523,7;5820330,7;180;0;98,4;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE04YY50000LB3_01;;0,425;17,761;ID_f2d7c741-1e43-41ec-bb42-f5b2733a95bd;304851575;LOD2;1010;385505,6;5820156,4;180;0;91,5;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE01YYK0002QAg_001;;0,202;14,970;ID_5445825c-134c-4304-8850-aeaebf44ae78;1877524260;LOD2;2142;385706,7;5821642,9;180;0;1697,7;30,00;138,7;76;78,51;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DZGp6bbedC6;;0,449;19,908;ID_6885f2fd-d283-4b10-935c-12dedeec80cd;1476801996;LOD2;1010;384774,2;5820027,3;355;9;109,3;30,00;138,7;4;4,13;1033;25;46;104;193;205;221;194;183;121;59;28;20;
DEBE3D04YY500008uA;1900;0,362;17,828;ID_699bd1d6-ce7e-4333-ba05-91c2460a40ae;1591518449;LOD2;1010;385105,5;5820794,4;180;0;307,3;30,00;138,7;13;13,43;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DzR2yAv75ZM;;0,336;17,239;ID_e079f1a1-5252-4b47-b976-15d75e27e75b;233185800;LOD2;1010;385062,6;5820190,0;180;0;209,2;30,00;138,7;9;9,30;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DrvzFm4nGvG;1905;0,317;19,284;ID_f4f8ed81-e436-4961-ac91-ea925302c5a3;467088208;LOD2;1010;384663,8;5820888,1;180;0;377,8;30,00;138,7;17;17,56;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000JTO;;0,285;19,718;ID_e0b6a1b3-9e5e-4383-9b37-75dfcc2612b1;1530948796;LOD2;1010;385969,7;5820062,0;180;0;130,0;30,00;138,7;5;5,16;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DYQ37FGMIt4;;0,353;8,581;ID_4090c4cd-44f9-4200-9ae9-18ec844f29af;985926522;LOD2;2111;385809,4;5821087,6;199;5;75,2;30,00;138,7;3;3,10;1033;29;53;130;225;221;230;204;203;145;69;38;23;
DEBE04YY50000AQQ_001;;0,385;16,784;ID_66e81ef0-8d19-4f4d-8e02-8c91ec9dd987;1650509254;LOD2;1120;384171,1;5820136,7;175;3;268,6;30,00;138,7;12;12,40;1033;28;52;127;223;219;228;203;200;142;68;37;22;
DEBE3DIDGgiyuj4s;;0,783;4,631;ID_ffecd18e-4b6b-4aaf-9587-2975b72fbe48;1867240123;LOD2;1610;384020,4;5820173,8;180;0;59,1;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000ReH;1900;0,536;7,417;ID_effcd3ad-e336-4662-8fcd-471b1617eb10;1970187123;LOD2;2621;385489,5;5820987,0;180;0;300,0;30,00;138,7;13;13,43;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY500009Rh;2013;1,062;3,302;ID_bde2672b-658c-4b24-921f-f20d5142c255;2112382101;LOD2;2111;385215,3;5820386,6;180;0;47,2;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DBxixKgWDs3;1900;0,661;3,898;ID_3fdd097d-4033-4f24-afe2-06037a3ec542;893973298;LOD2;2200;385617,0;5821047,9;349;3;45,3;30,00;138,7;2;2,07;1033;27;49;113;205;211;225;198;190;130;63;32;21;
DEBE3DcB7KfauXjd;1905;0,222;22,586;ID_23b67112-41df-452f-b717-227719ef8d1b;2107770100;LOD2;1010;384740,6;5820737,3;286;35;117,4;40,00;129,7;7;6,76;966;30;56;133;217;214;232;195;203;143;69;38;23;
DEBE3D01YYK0002PpJ;;0,891;3,055;ID_44506e25-d2c0-4940-933e-ddd7bd6e2836;135409794;LOD2;2444;385832,7;5820388,9;180;0;289,0;30,00;138,7;13;13,43;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DytbwsejTS1;;0,398;8,561;ID_e481c9e4-41a9-4f38-82eb-e7dfe088d99d;1788417773;LOD2;3034;384469,6;5820118,0;85;10;53,9;30,00;138,7;2;2,07;1033;22;42;105;197;203;214;192;181;122;57;28;17;
DEBE3DytbwsejTS1;;0,398;8,561;ID_e0fdb774-d497-4056-8f1b-800af6f01775;1550552270;LOD2;3034;384469,6;5820118,0;265;15;44,4;40,00;136,7;2;2,04;1018;33;59;139;232;226;238;206;211;151;74;42;26;
DEBE3D04YY500001CZ;1900;0,950;3,657;ID_f2b4fddc-8624-4cf8-8151-473bcac3c34d;466051500;LOD2;1010;385440,7;5821150,9;15;10;142,4;30,00;138,7;6;6,20;1033;25;44;100;188;201;217;192;179;117;57;28;19;
DEBE3D04YY50000K6K;1925;0,569;8,035;ID_6edb79c3-aa88-4a97-80df-0c5755764636;268132557;LOD2;2120;385537,5;5820626,5;180;0;157,2;30,00;138,7;7;7,23;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DPaheGVhzR5;;1,422;11,882;ID_244d2a15-a2d0-4cd3-8e78-b2ff8f5f7878;349463777;LOD2;3041;385479,5;5820741,5;184;10;49,0;30,00;138,7;2;2,07;1033;30;54;136;233;224;230;205;206;150;71;40;23;
UUID_bd4f63fa-93a8-436a-8fa7-c84df5763056;;0,901;3,000;generated_ID_188564;961345737;LOD2;1010;385882,6;5820819,5;180;0;440,5;30,00;138,7;19;19,63;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DM7Nf5JDZjm;;0,271;23,122;ID_03468a2b-f4dc-4c88-97b9-43e7d4cb7228;1040273577;LOD2;1010;385672,1;5820161,5;192;4;97,4;30,00;138,7;4;4,13;1033;29;53;129;225;221;229;204;202;144;69;38;23;
DEBE3Dw3o1xEcorR;;0,157;16,739;ID_a4f5e16d-a1f7-4f24-b41b-c719ab630848;1589232305;LOD2;1010;384646,1;5821978,7;180;0;121,0;30,00;138,7;5;5,16;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY500001Cl;;0,302;20,787;ID_1fffcfa7-8532-4750-9db7-a480ffe5d36c;1542511574;LOD2;1010;385062,0;5820089,2;266;9;203,5;30,00;138,7;9;9,30;1033;32;57;134;227;224;236;206;207;148;72;40;25;
DEBE3Dn6uFOnruTr;;0,486;19,935;ID_34f89e41-e765-47a8-98e9-590401a83b21;539201056;LOD2;1010;385858,4;5821331,1;174;39;104,0;40,00;135,6;6;6,06;1010;30;56;154;246;215;213;193;206;165;76;49;21;
DEBE3DWFMlI0x145;1905;0,508;21,464;ID_7bb60f8d-8586-417c-a341-400769d250e8;1525050795;LOD2;1010;384544,0;5820635,9;180;0;63,7;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DQotUeBm2SA;1905;0,495;22,633;ID_7c6b1020-59ba-40c6-ab22-e82d57ca9e0a;721639793;LOD2;1010;384704,1;5820664,1;197;10;47,4;30,00;138,7;2;2,07;1033;31;56;138;235;225;231;206;208;152;73;41;24;
DEBE3Dgm2DqG0wry;1925;0,633;6,835;ID_0d4259a4-d7f1-43fd-9c5b-c6905c27be8b;147028862;LOD2;2100;385497,9;5820588,7;183;2;179,6;30,00;138,7;8;8,26;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DpU585coXIB;;0,410;21,892;ID_9bdc4c36-c41d-4e5d-8e4d-65d4ea1b5810;1875720340;LOD2;1010;385787,0;5820051,6;212;44;67,8;40,00;149,1;4;4,44;1110;41;73;179;265;223;220;194;221;184;92;62;32;
DEBE3DAC2oDgcflw;1905;0,210;13,020;ID_fcfd6ff3-329e-4495-81d4-598998be293e;1864564753;LOD2;3021;384881,1;5820624,0;180;0;133,8;30,00;138,7;6;6,20;1033;28;50;120;214;216;226;201;195;136;65;34;22;
UUID_6d4b2f25-8660-46ee-8377-b82af0b4e37d;1900;0,326;13,049;ID_07f3b814-5c51-4aed-98f2-7de804a32e01;1731009289;LOD2;2120;385118,3;5820934,6;180;0;447,7;30,00;138,7;20;20,66;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DIYDpiHQpV9;;0,331;19,053;ID_1ba94651-1afc-42ae-a31b-0e68df848682;1380882727;LOD2;1010;385800,3;5820051,6;303;4;58,8;30,00;138,7;2;2,07;1033;29;52;121;214;217;229;202;197;137;66;35;23;
DEBE3DaYnXttraoc;;0,588;21,214;ID_07c7b9e4-5362-4ec2-ab98-3abdb184e57b;878374184;LOD2;1010;385273,9;5820191,4;272;6;73,2;30,00;138,7;3;3,10;1033;30;54;127;221;220;232;204;202;142;69;37;24;
DEBE3DXZEWbPtRNC;1905;0,740;4,032;ID_8e371743-525b-49b0-891d-aaa13668bf73;502788776;LOD2;2120;385652,0;5820614,1;2;5;101,6;30,00;138,7;4;4,13;1033;27;48;112;203;210;224;198;189;128;62;31;21;
DEBE3Dw5B63yqonH;1905;0,157;22,249;ID_49e91025-cf03-40f2-bcbf-f748e2da8c5b;63836753;LOD2;1010;385591,2;5820653,5;180;0;476,1;30,00;138,7;21;21,69;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3Di3pC1YWDmU;;0,346;12,516;ID_dc2f8f31-bdb2-4986-a7f5-8a15e729139c;17723354;LOD2;2200;385075,7;5821021,0;180;0;231,8;30,00;138,7;10;10,33;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE04YY50000COa_01;1905;0,535;20,683;ID_aff9fc22-a908-4b0e-aaba-52a94c8b9793;1329078023;LOD2;1010;384745,9;5820810,0;195;17;81,6;40,00;138,9;4;4,14;1034;32;58;146;243;228;232;207;213;159;76;44;25;
DEBE3Dx71Pb6YR5g;;0,345;20,825;ID_18089b51-4256-4000-99cb-c542550515d8;174222409;LOD2;1120;384564,3;5820077,3;180;0;222,0;30,00;138,7;9;9,30;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000BTD;1955;1,043;3,802;ID_90ab388b-e104-44d1-bb9b-f0cef31bc682;1406439967;LOD2;3021;384830,1;5821060,3;180;0;59,9;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DcTV0E4lgG6;;0,311;16,384;ID_660edf25-0ec1-4173-a973-bed914bb10b1;464608472;LOD2;1010;384782,0;5821928,2;180;0;85,3;30,00;138,7;3;3,10;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000C1Y;;0,442;24,275;ID_1cdc2558-16f4-40bf-b209-c5483dd47ce0;1793378222;LOD2;2100;384953,1;5820314,5;180;0;114,2;30,00;138,7;5;5,16;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000RqS;1905;0,316;20,218;ID_0fedd8ca-3524-4f70-82f6-31bd8232614c;1255548300;LOD2;1010;384573,8;5820525,2;209;15;51,3;40,00;140,8;3;3,15;1049;34;60;148;245;230;235;208;215;161;78;46;26;
DEBE3D04YY50000RqS;1905;0,316;20,218;ID_73915038-3a71-4906-997c-699aff392045;1632660833;LOD2;1010;384573,8;5820525,2;29;10;179,8;30,00;138,7;8;8,26;1033;24;43;98;187;200;214;191;176;116;56;27;19;
DEBE00YY1Ha0003w_01;1905;0,818;7,782;ID_addb284d-2086-4c20-abdc-542bd6088d24;1875435450;LOD2;1010;384586,6;5820717,1;49;10;40,7;30,00;138,7;1;1,03;1033;23;42;99;188;199;212;190;176;116;55;27;18;
DEBE3D04YY50000KBD;2013;0,247;20,240;ID_9e755c42-000f-429a-9ea6-f6ca34a97557;1751298211;LOD2;1010;385097,2;5820537,6;180;0;234,7;30,00;138,7;10;10,33;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DhUmdYvv42k;;0,391;8,755;ID_c2b2b997-7ef8-4e06-93b6-5174eade3780;422546328;LOD2;2143;385311,6;5821450,8;180;0;223,4;30,00;138,7;10;10,33;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DXuGsTcQ8mT;1955;0,434;17,326;ID_d94a3156-aff4-4ae0-a4e8-5042c9657e02;221923376;LOD2;1010;384977,6;5821109,5;285;35;55,6;40,00;129,7;3;2,90;966;30;56;133;217;214;232;195;203;143;69;38;23;
DEBE3D01YYK0002QDa;;0,531;11,030;ID_d69f7af5-7a20-4e48-aca7-2b856e389511;156901389;LOD2;1010;385774,6;5821341,9;180;0;169,9;30,00;138,7;7;7,23;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000RrJ;;1,363;2,445;ID_1343ecaf-0f02-4590-9c57-2acd36465bb0;1406524993;LOD2;2000;384914,4;5821972,0;180;0;65,0;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY5000020Z;;0,356;17,800;ID_1a9b2e15-45cc-47ce-aa32-40eb3cf82951;2001863316;LOD2;1010;385535,9;5820149,6;180;0;306,1;30,00;138,7;13;13,43;1033;28;50;120;214;216;226;201;195;136;65;34;22;
UUID_4ff8418b-919c-4c7d-b040-32681070756a;1935;0,303;24,817;ID_bd0da314-ce7e-4fc2-ac5a-4a94ae7298f5;752309520;LOD2;1010;384818,4;5821276,1;180;0;99,7;30,00;138,7;4;4,13;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DyItjJC00iS;1905;0,264;23,802;ID_807a9f55-5fe6-40de-8b64-9ac3194817dd;2014289457;LOD2;1010;385431,1;5820832,8;180;42;206,0;40,00;138,5;12;12,37;1031;31;59;159;251;217;215;194;210;169;79;51;23;
DEBE3D04AL2zg00000;;0,424;6,260;ID_c63f5812-8e84-437a-9e30-3498e03b4322;2105838556;LOD2;2111;384882,2;5821600,3;180;0;1537,8;30,00;138,7;69;71,28;1033;28;50;120;214;216;226;201;195;136;65;34;22;
UUID_13f7558b-e45d-4fd4-88f4-ac01f870e3ad;;0,359;17,422;ID_696f20c4-58aa-4bfe-9f03-df3593329a97;598229677;LOD2;1010;385176,1;5820198,9;180;0;142,3;30,00;138,7;6;6,20;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DwPl6Y2f8Z8;;0,238;16,547;ID_5f563a10-887b-43ce-85ba-35ab7e998143;789831727;LOD2;1010;384523,7;5821927,1;180;0;293,7;30,00;138,7;13;13,43;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000Ro9;1955;0,384;12,657;ID_6c2d1240-2cd6-4690-be6c-8cde7f653a92;1438464810;LOD2;1010;384901,6;5821278,9;269;31;71,6;40,00;138,3;4;4,12;1030;34;61;146;234;224;239;202;214;155;76;44;27;
DEBE3DzF0lYABgn2;1900;0,520;20,205;ID_fdd68309-5016-4395-b12a-4d418c573572;139962617;LOD2;1010;385151,8;5820775,5;273;9;52,6;30,00;138,7;2;2,07;1033;31;56;131;224;222;235;205;205;145;71;39;24;
DEBE3Dm3UINlz8lm;1905;0,426;23,604;ID_a5504dd2-3b06-4b5f-8eff-8ae9837bcc9f;1633044491;LOD2;1010;384558,8;5820795,1;180;0;55,5;30,00;138,7;2;2,07;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DvCpn2cZQ08;;0,357;9,858;ID_65b9e860-c0a6-47f8-b5ac-c0023e9a8c7b;989663023;LOD2;2111;384495,4;5821608,5;160;6;112,7;30,00;138,7;5;5,16;1033;28;51;125;220;218;226;202;198;140;66;36;21;
DEBE3DOI7hNjiUsn;;0,376;16,195;ID_d0769ce1-fcc7-48ab-ab13-c11f0a290296;759186871;LOD2;3041;385493,1;5820742,4;184;46;233,3;40,00;139,2;13;13,47;1036;33;61;165;253;214;210;189;209;173;82;54;24;
DEBE3DfElLArkej4;1905;0,277;23,030;ID_adaa46d4-938f-4b55-aa28-045746034319;2032843948;LOD2;1010;385453,0;5820827,1;272;16;221,1;40,00;135,6;13;13,12;1009;33;58;136;229;225;238;205;209;150;73;41;26;
DEBE3DUpMk4QiBB1;;0,518;20,758;ID_77a4a5d7-b1af-4759-93ed-9c9acb55ce01;2048058205;LOD2;1010;385850,7;5820042,5;206;8;109,9;30,00;138,7;4;4,13;1033;31;57;139;236;226;233;207;210;153;74;42;24;
DEBE3DpH0qCRteRP;;0,253;23,464;ID_e78256e7-4c25-409d-91f9-d26441940201;1067751437;LOD2;1010;384726,6;5820291,3;3;4;290,1;30,00;138,7;13;13,43;1033;26;48;111;203;210;223;197;188;128;62;31;21;
DEBE3DAuk8UdQmsq;1900;0,693;4,056;ID_5378822e-9ac0-479a-af9f-e6f6991d0f44;1561322205;LOD2;2054;385177,4;5821083,0;180;0;247,4;30,00;138,7;11;11,36;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3Dfj3jmI5LLW;;0,191;16,022;ID_f8313c41-ccee-4976-a5bb-1b87461e657b;1500779120;LOD2;2142;384957,0;5821565,4;180;0;483,9;30,00;138,7;21;21,69;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DxN29nJxSsv;1905;0,312;24,015;ID_4d77b532-6824-453c-b65e-50e09c26e6c9;1241344099;LOD2;1010;384660,9;5820761,3;106;2;144,9;30,00;138,7;6;6,20;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY50000BOK;;1,046;2,739;ID_8e5fd1da-d05e-4d26-a4e7-2056da38e424;36880917;LOD2;2463;385146,5;5820067,5;180;0;216,0;30,00;138,7;9;9,30;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DKgsFEnJMt5;;0,276;21,390;ID_789321fe-432c-4ba8-b748-8b2591dc84da;1682367061;LOD2;1010;385486,6;5820803,4;93;10;214,8;30,00;138,7;9;9,30;1033;23;43;108;200;205;215;194;183;125;58;29;17;
DEBE3DKgsFEnJMt5;;0,276;21,390;ID_5fe4f708-3d7c-4dd2-86d7-52689d006392;856663732;LOD2;1010;385486,6;5820803,4;273;56;92,9;40,00;129,9;5;4,83;967;32;58;141;221;209;221;185;202;148;71;42;25;
DEBE3D04YY50000KAM;2013;9,022;0,226;ID_5ea57ea8-b724-4a76-bd72-16da94b76492;623975429;LOD2;2140;385557,9;5820460,0;180;0;444,7;30,00;138,7;20;20,66;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DSWuORfMLIq;1905;0,476;6,599;ID_b807bdec-b12c-4c3b-a40d-962afb873366;278751937;LOD2;3211;385046,2;5820612,0;180;0;161,4;30,00;138,7;7;7,23;1033;28;50;120;214;216;226;201;195;136;65;34;22;
UUID_bc954f8a-e20b-4f49-88c7-1f62f2fb1de0;;0,285;15,208;ID_70b7bc48-de44-4b99-b994-10428b322edc;1825693724;LOD2;3031;384366,9;5820313,2;180;0;4560,1;30,00;138,7;205;211,76;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DRsxmK7vGkM;1905;0,328;20,491;ID_6bf5ec7c-23bf-4f93-98d1-ec13339fc3ab;1392398020;LOD2;1010;384706,1;5820799,9;195;60;72,0;40,00;135,9;4;4,05;1012;37;67;173;246;195;191;170;199;176;87;60;27;
DEBE3DRsxmK7vGkM;1905;0,328;20,491;ID_564fa4fd-3b6b-4a11-92cf-9ffc3f167cc1;547842562;LOD2;1010;384706,1;5820799,9;15;4;147,3;30,00;138,7;6;6,20;1033;26;47;110;202;209;222;197;187;127;61;31;21;
DEBE3DGPx0qP2Nfb;;0,335;21,550;ID_6faff4f9-0d41-4832-90b7-1e9a7eeb32b5;1522359886;LOD2;1120;384555,5;5820118,9;264;15;61,4;40,00;136,7;3;3,05;1018;33;59;139;232;226;238;206;211;151;74;42;26;
DEBE3DGPx0qP2Nfb;;0,335;21,550;ID_28056524-fd8a-4784-b2e4-23d715b7c7e0;2094955168;LOD2;1120;384555,5;5820118,9;84;4;65,0;30,00;138,7;2;2,07;1033;25;46;112;205;209;220;197;188;129;61;31;19;
DEBE04YY50000GVa_02;;0,633;8,250;ID_bf17c89d-2d34-4498-b980-b3581b9b6207;1652917155;LOD2;1010;384809,9;5820203,2;201;6;60,4;30,00;138,7;2;2,07;1033;29;53;130;225;221;230;204;203;145;69;38;23;
DEBE3DT2zRzD0aV8;;0,274;16,662;ID_50f716ea-3f7d-491f-b56b-901e7cf861db;226901508;LOD2;1010;384901,1;5821940,8;180;0;221,8;30,00;138,7;9;9,30;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3D04YY500001JV;1900;0,288;22,379;ID_8f6d1e27-2939-410e-b928-72060026194b;1694596429;LOD2;1010;385310,6;5820889,3;180;0;762,8;30,00;138,7;34;35,12;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE04YY50000LnT_02;;0,419;21,629;ID_3f5a24ee-96d3-4ee8-a1ae-dc2ec936c986;528108256;LOD2;1010;384914,5;5820178,1;356;3;84,0;30,00;138,7;3;3,10;1033;27;48;112;204;211;224;198;190;129;62;32;21;
DEBE04YY50000LnT_01;;0,445;21,947;ID_d43e1ffa-0a21-40c7-9825-80d3188281d7;925054088;LOD2;1010;384899,8;5820179,2;180;0;137,9;30,00;138,7;6;6,20;1033;28;50;120;214;216;226;201;195;136;65;34;22;
DEBE3DAY8Mg1Cigo;1900;0,508;20,182;ID_d53606ad-6726-4a39-b4f8-d93ef76b5dba;534122804;LOD2;1010;385269,9;5820893,5;90;7;79,1;30,00;138,7;3;3,10;1033;25;46;113;206;210;220;197;188;129;61;31;19;
DEBE3DKQ9ov1lP65;;0,515;22,857;ID_6d6f3995-1aa2-42d8-a19a-b7f21aa8fe40;901214092;LOD2;1010;385018,2;5820249,7;305;4;64,6;30,00;138,7;2;2,07;1033;29;52;121;214;217;229;202;197;137;66;35;23;
